id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
radio-station-r-166-code-artek,Radio Station R 166 Code Artek,[],"[""UNK""]",UNK,ew,unknown,12,https://war-sanctions.gur.gov.ua/en/page-radio-station-r-166-code-artek,[],,2026-06-13,Auto-registered from GUR component listing
shahed-136-uav-214,Shahed 136 UAV 214,[],"[""RU""]",IR,loitering_munition,unknown,51,https://war-sanctions.gur.gov.ua/en/page-shahed-136-uav-214,[],,2026-06-13,Auto-registered from GUR component listing
printing-device-ud-m312,Printing Device Ud M312,[],"[""UNK""]",UNK,unknown,unknown,1,https://war-sanctions.gur.gov.ua/en/page-printing-device-ud-m312,[],,2026-06-13,Auto-registered from GUR component listing
block-of-automation-of-communication-management-baus2,Block Of Automation Of Communication Management Baus2,[],"[""UNK""]",UNK,unknown,unknown,8,https://war-sanctions.gur.gov.ua/en/page-block-of-automation-of-communication-management-baus2,[],,2026-06-13,Auto-registered from GUR component listing
r-170v-exciter-of-hf-vhf-radio-transmitters-artek-sirius-2-209-029,R 170V Exciter Of Hf Vhf Radio Transmitters Artek Sirius 2 209 029,[],"[""UNK""]",UNK,ew,unknown,15,https://war-sanctions.gur.gov.ua/en/page-r-170v-exciter-of-hf-vhf-radio-transmitters-artek-sirius-2-209-029,[],,2026-06-13,Auto-registered from GUR component listing
2s19m1-msta-s,2S19M1 Msta S,[],"[""UNK""]",UNK,unknown,unknown,9,https://war-sanctions.gur.gov.ua/en/page-2s19m1-msta-s,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-101,Missile Kh-101,[],"[""RU""]",RU,missile,unknown,3,https://war-sanctions.gur.gov.ua/en/page-missile-kh-101,[],,2026-06-13,Auto-registered from GUR component listing
pun-01,Pun 01,[],"[""UNK""]",UNK,unknown,unknown,5,https://war-sanctions.gur.gov.ua/en/page-pun-01,[],,2026-06-13,Auto-registered from GUR component listing
pukm-01,Pukm 01,[],"[""UNK""]",UNK,unknown,unknown,12,https://war-sanctions.gur.gov.ua/en/page-pukm-01,[],,2026-06-13,Auto-registered from GUR component listing
mc1-provides-support-for-radio-station-control-protocols-r-168-25u-2-r-168-5uv-etc,Mc1 Provides Support For Radio Station Control Protocols R 168 25U 2 R 168 5Uv Etc,[],"[""UNK""]",UNK,ew,unknown,20,https://war-sanctions.gur.gov.ua/en/page-mc1-provides-support-for-radio-station-control-protocols-r-168-25u-2-r-168-5uv-etc,[],,2026-06-13,Auto-registered from GUR component listing
equipment-of-internal-communication-switching-and-control,Equipment Of Internal Communication Switching And Control,[],"[""UNK""]",UNK,unknown,unknown,13,https://war-sanctions.gur.gov.ua/en/page-equipment-of-internal-communication-switching-and-control,[],,2026-06-13,Auto-registered from GUR component listing
portable-solid-state-radar-station-for-reconnaissance-of-short-range-ground-targets-1l277-sobolyatnik,Portable Solid State Radar Station For Reconnaissance Of Short Range Ground Targets 1L277 Sobolyatnik,[],"[""UNK""]",UNK,unknown,unknown,15,https://war-sanctions.gur.gov.ua/en/page-portable-solid-state-radar-station-for-reconnaissance-of-short-range-ground-targets-1l277-sobolyatnik,[],,2026-06-13,Auto-registered from GUR component listing
small-sized-laser-device-of-the-scout-lpr-3,Small Sized Laser Device Of The Scout Lpr 3,[],"[""UNK""]",UNK,unknown,unknown,8,https://war-sanctions.gur.gov.ua/en/page-small-sized-laser-device-of-the-scout-lpr-3,[],,2026-06-13,Auto-registered from GUR component listing
radio-station-r-168-25u-2,Radio Station R 168 25U 2,[],"[""UNK""]",UNK,ew,unknown,7,https://war-sanctions.gur.gov.ua/en/page-radio-station-r-168-25u-2,[],,2026-06-13,Auto-registered from GUR component listing
remote-control-radar-1l111m-1-fara-vr-radar-1l277-sobolyatnik,Remote Control Radar 1L111M 1 Fara Vr Radar 1L277 Sobolyatnik,[],"[""UNK""]",UNK,unknown,unknown,17,https://war-sanctions.gur.gov.ua/en/page-remote-control-radar-1l111m-1-fara-vr-radar-1l277-sobolyatnik,[],,2026-06-13,Auto-registered from GUR component listing
automated-workplace-of-the-1b1003-command-and-observation-vehicle-of-the-1b198-cannonade-complex-of-automated-artillery-fire-control-equipment,Automated Workplace Of The 1B1003 Command And Observation Vehicle Of The 1B198 Cannonade Complex Of Automated Artillery Fire Control Equipment,[],"[""UNK""]",UNK,unknown,unknown,12,https://war-sanctions.gur.gov.ua/en/page-automated-workplace-of-the-1b1003-command-and-observation-vehicle-of-the-1b198-cannonade-complex-of-automated-artillery-fire-control-equipment,[],,2026-06-13,Auto-registered from GUR component listing
122-mm-mlrs-9k51-tornado-g,122 Mm Mlrs 9K51 Tornado G,[],"[""RU""]",RU,missile,unknown,22,https://war-sanctions.gur.gov.ua/en/page-122-mm-mlrs-9k51-tornado-g,[],,2026-06-13,Auto-registered from GUR component listing
